feature,importance_gain,importance_split
vwap_z_lag3,505.0854949951172,5
spx_swing_lag5,504.14769744873047,5
mkt_pos_rate,502.96839141845703,5
beta_to_csi1500_ew_20d_lag3,502.80169677734375,5
sw_l2_market_beta_mcap_20d,502.7835998535156,5
sw_l2_oc_ret_lag15,501.2511978149414,6
sw_l2_market_alpha_mcap_5_lag2,500.19348907470703,5
true_range_pct_z,495.93470001220703,4
ret_5_minus_ret_20_lag1,488.76739501953125,5
ret_10,485.9404067993164,4
sw_l2_oc_ret_lag8,482.67889404296875,6
sw_l2_ret_std_20_ind_rank,482.0146903991699,6
vol_over_sw_l2_vol_lag20,480.843505859375,5
sw_l2_ret_1_lag1,480.6780014038086,5
sw_l2_market_beta_ew_20d,479.44650650024414,6
mkt_limit_up_count_lag3,479.3558044433594,6
sw_l2_ret_1_ind_rank_lag1,479.2376937866211,4
sw_l2_ret_1_lag8,478.0481948852539,6
ret_5_minus_ret_20_lag3,476.5460968017578,6
mkt_ret_sh_lag3,472.1990051269531,5
csi1500_ew_ret_std_20_lag3,464.5658874511719,4
csi1500_ew_lt_minus_2pct_ratio_lag1,459.1790008544922,5
csi1500_ew_mom_2_lag5,459.1241989135742,5
ret_1_in_weak_mkt_lag15,457.3777084350586,5
mkt_mf_retail_rate_lag5,456.89830780029297,4
mkt_limit_down_count_lag2,456.44579315185547,4
sw_l2_mom_2_lag5,455.8205032348633,6
csi1500_mcap_oc_ret_lag3,455.32879638671875,4
vwap_low_ratio_lag8,453.39510345458984,5
ret_10_rel_csi1500_ew,453.0028076171875,4
limit_up_day_cnt_1,451.64969635009766,3
mv_prank_1500_lag10,450.8004913330078,5
mkt_pos_rate_lag2,448.9105987548828,5
turnover_f_cs_rank,446.6408004760742,4
oc_ret_lag9,445.6789016723633,4
vwap_log_ret_20_lag2,445.57310485839844,5
min_5m_ret_lag1,443.08740997314453,3
ret_20,442.59300231933594,5
mv_prank_1500_lag1,440.75450897216797,4
vol_over_csi1500_ew_vol,439.68609619140625,4
csi1500_coverage_ratio_lag2,434.6283874511719,3
sw_l2_mom_2_rank_accel5,432.3084030151367,5
ret_5_rel_csi1500_ew,430.98888397216797,4
ret_3_minus_ret_10_lag1,428.6003074645996,4
csi1500_mcap_oc_ret,426.0384063720703,5
sw_l2_mom_5_lag2,425.5357971191406,5
sw_l2_mom_20_lag1,423.9154930114746,5
csi1500_ew_down_ratio_lag5,423.4016990661621,5
sw_l2_oc_ret_lag2,421.1980972290039,4
turnover_f_log_lag15,420.6872100830078,4
vol_over_csi1500_ew_vol_lag1,419.80690002441406,4
csi1500_coverage_ratio_lag3,417.5009002685547,4
beta_to_csi1500_ew_20d_lag5,416.7774963378906,3
realized_up_semivar,415.7995071411133,4
beta_to_csi1500_mcap_20d_lag3,411.25989532470703,5
cost_95pct_z_lag20,408.63169860839844,5
sw_l2_mom20_rel_csi1500_ew_lag1,405.5748062133789,5
margin_pressure_lag10,405.5169982910156,5
sw_l2_market_beta_ew_20d_lag5,402.3917922973633,5
sw_l2_mom5_rel_csi1500_mcap_lag5,401.5251007080078,5
