ts_code,trade_date,priority_name,priority,T0_open,T0_close,T0_high,T1_open,T1_close,T1_high,T2_open,T2_close,T2_high,T3_open,T3_close,T3_high,T4_open,T4_close,T4_high,T5_open,T5_close,T5_high,buy,sell,return,target
002081.SZ,20260610,,0.0,5.33,5.94,5.94,5.92,5.35,5.92,5.3,5.03,5.32,5.1,5.12,5.22,5.06,4.97,5.13,4.92,4.77,4.94,5.92,5.3,-0.10472972972972971,0
002354.SZ,20260610,,0.0,8.28,8.87,8.87,8.75,7.98,8.83,7.42,7.52,8.12,7.56,7.5,7.98,7.31,7.26,7.41,7.19,7.03,7.25,8.75,7.42,-0.15200000000000002,0
605589.SH,20260610,,0.0,60.1,60.1,60.1,62.0,61.0,65.08,59.0,58.32,63.48,57.99,64.15,64.15,65.9,67.06,67.98,65.12,66.4,69.47,62.0,58.32,-0.05935483870967739,0
688523.SH,20260610,P3_global_china_expansion,3.0,58.7,52.99,59.9,53.05,53.27,54.1,53.56,53.35,57.52,53.99,53.84,55.0,55.0,52.63,55.59,52.63,53.2,54.61,53.05,57.294000000000004,0.08000000000000007,1
000636.SZ,20260609,,0.0,55.8,61.08,61.08,62.91,59.81,63.99,60.01,64.3,65.79,66.5,59.12,66.5,61.5,65.03,65.03,68.24,70.61,71.53,62.91,59.12,-0.06024479415037354,0
002254.SZ,20260609,,0.0,17.9,18.79,18.79,18.61,17.2,18.61,17.37,18.92,18.92,18.54,18.06,18.68,17.69,17.48,17.97,17.15,16.89,17.77,18.61,17.37,-0.06663084363245564,0
002354.SZ,20260609,,0.0,7.75,8.06,8.06,8.28,8.87,8.87,8.75,7.98,8.83,7.42,7.52,8.12,7.56,7.5,7.98,7.31,7.26,7.41,8.28,7.52,-0.09178743961352653,0
605589.SH,20260609,,0.0,54.64,54.64,54.64,60.1,60.1,60.1,62.0,61.0,65.08,59.0,58.32,63.48,57.99,64.15,64.15,65.9,67.06,67.98,60.1,64.908,0.08000000000000007,1
002354.SZ,20260608,,0.0,7.1,7.33,7.33,7.75,8.06,8.06,8.28,8.87,8.87,8.75,7.98,8.83,7.42,7.52,8.12,7.56,7.5,7.98,7.75,8.370000000000001,0.08000000000000007,1
002421.SZ,20260608,,0.0,5.21,5.73,5.73,5.99,5.7,6.16,5.7,5.43,5.96,4.89,4.89,4.89,4.4,4.4,4.64,4.1,4.01,4.16,5.99,5.43,-0.09348914858096835,0
688523.SH,20260608,,0.0,57.8,58.6,62.39,57.43,59.29,61.5,58.7,52.99,59.9,53.05,53.27,54.1,53.56,53.35,57.52,53.99,53.84,55.0,57.43,52.99,-0.07731150966393863,0
002421.SZ,20260605,,0.0,4.86,5.21,5.21,5.21,5.73,5.73,5.99,5.7,6.16,5.7,5.43,5.96,4.89,4.89,4.89,4.4,4.4,4.64,5.21,5.99,0.1497120921305184,1
600403.SH,20260605,P3_global_china_expansion,3.0,7.4,8.14,8.14,8.23,8.95,8.95,8.06,8.06,8.58,7.8,7.65,8.68,7.8,8.05,8.42,7.25,7.25,7.45,8.23,7.65,-0.07047387606318345,0
688523.SH,20260605,P3_global_china_expansion,3.0,58.24,60.09,60.98,57.8,58.6,62.39,57.43,59.29,61.5,58.7,52.99,59.9,53.05,53.27,54.1,53.56,53.35,57.52,57.8,52.99,-0.08321799307958466,0
600403.SH,20260604,P2_current_broader,2.0,7.4,7.4,7.4,7.4,8.14,8.14,8.23,8.95,8.95,8.06,8.06,8.58,7.8,7.65,8.68,7.8,8.05,8.42,7.4,8.23,0.11216216216216224,1
600688.SH,20260604,P3_global_china_expansion,3.0,3.38,3.38,3.38,3.68,3.49,3.72,3.31,3.28,3.48,3.32,3.15,3.32,3.13,2.99,3.16,2.96,2.89,3.01,3.68,3.31,-0.10054347826086962,0
688146.SH,20260604,,0.0,199.59,219.19,219.19,229.0,231.11,243.03,231.0,252.18,265.5,247.0,250.82,262.96,263.0,292.0,298.9,308.06,349.8,349.8,229.0,247.32000000000002,0.08000000000000007,1
600403.SH,20260603,P3_global_china_expansion,3.0,6.73,6.73,6.73,7.4,7.4,7.4,7.4,8.14,8.14,8.23,8.95,8.95,8.06,8.06,8.58,7.8,7.65,8.68,7.4,7.992000000000001,0.08000000000000007,1
600487.SH,20260603,,0.0,90.0,91.43,91.43,93.0,97.87,98.99,96.0,96.12,102.96,92.55,95.47,102.33,99.77,105.02,105.02,106.0,106.88,109.99,93.0,100.44000000000001,0.08000000000000007,1
688515.SH,20260603,P3_global_china_expansion,3.0,249.99,246.5,260.0,223.0,226.97,231.99,221.3,214.0,233.88,190.5,194.48,202.0,201.0,199.98,201.99,195.04,190.87,197.1,223.0,194.48,-0.12789237668161435,0
002421.SZ,20260602,,0.0,4.7,4.97,4.97,4.88,4.88,5.1,4.87,4.74,5.08,4.86,5.21,5.21,5.21,5.73,5.73,5.99,5.7,6.16,4.88,5.2704,0.08000000000000007,1
002897.SZ,20260602,,0.0,82.4,88.2,88.2,95.08,91.2,96.99,88.75,96.15,99.47,93.01,91.45,98.27,87.11,82.31,87.7,82.36,85.26,88.98,95.08,82.31,-0.1343079511989903,0
600403.SH,20260602,,0.0,6.11,6.12,6.12,6.73,6.73,6.73,7.4,7.4,7.4,7.4,8.14,8.14,8.23,8.95,8.95,8.06,8.06,8.58,6.73,7.4,0.09955423476968805,1
688515.SH,20260602,,0.0,185.0,217.0,220.85,249.99,246.5,260.0,223.0,226.97,231.99,221.3,214.0,233.88,190.5,194.48,202.0,201.0,199.98,201.99,249.99,226.97,-0.09208368334733397,0
002081.SZ,20260601,P3_global_china_expansion,3.0,6.29,6.78,6.78,7.0,6.85,7.43,6.8,6.65,7.03,6.5,6.18,6.52,6.11,5.78,6.38,5.72,5.43,5.88,7.0,6.18,-0.11714285714285722,0
002421.SZ,20260601,P3_global_china_expansion,3.0,3.95,4.52,4.52,4.7,4.97,4.97,4.88,4.88,5.1,4.87,4.74,5.08,4.86,5.21,5.21,5.21,5.73,5.73,4.7,5.0760000000000005,0.08000000000000007,1
002608.SZ,20260601,P3_global_china_expansion,3.0,9.96,10.12,10.12,10.09,10.42,10.82,10.0,10.3,10.65,10.03,10.5,10.99,10.46,9.83,11.13,9.41,9.56,10.15,10.09,10.8972,0.08000000000000007,1
